"fiscalyear","area","generate","restraint","restraint_rate"
2016,"chubu",8138222,0,0
2017,"chubu",9556488,0,0
2018,"chubu",10580365,0,0
2019,"chubu",11707682,0,0
2020,"chubu",13038630,0,0
2021,"chubu",13925189,0,0
2022,"chubu",14904821,0,0
2023,"chubu",12540878,35197,0.0027987269477957153
2016,"chugoku",3926789,0,0
2017,"chugoku",4990246,0,0
2018,"chugoku",5708738,0,0
2019,"chugoku",6487797,0,0
2020,"chugoku",7185685,0,0
2021,"chugoku",8012662,0,0
2022,"chugoku",8773646,39873,0.0045240726207091625
2023,"chugoku",6755091,281936,0.040064646618522284
2016,"hokkaido",2058293,0,0
2017,"hokkaido",2216475,0,0
2018,"hokkaido",2513303,0,0
2019,"hokkaido",3113396,0,0
2020,"hokkaido",3774997,0,0
2021,"hokkaido",3980933,0,0
2022,"hokkaido",4106672,1914,4.6585370246600655e-4
2023,"hokkaido",4095139,811,1.9800046387285e-4
2016,"hokuriku",826315,0,0
2017,"hokuriku",1047595,0,0
2018,"hokuriku",1150043,0,0
2019,"hokuriku",1373156,0,0
2020,"hokuriku",1502715,0,0
2021,"hokuriku",1630723,0,0
2022,"hokuriku",1832279,0,0
2023,"hokuriku",1555109,10401,0.006643841304111759
2016,"kansai",4234376,0,0
2017,"kansai",5350673,0,0
2018,"kansai",6875950,0,0
2019,"kansai",7583468,0,0
2020,"kansai",8104940,0,0
2021,"kansai",8356701,0,0
2022,"kansai",9105054,864,9.488334948766286e-5
2023,"kansai",7395572,6241,8.43171801287063e-4
2016,"kyushu",7615664,0,0
2017,"kyushu",9692978,0,0
2018,"kyushu",10492381,96452,0.009108841361460701
2019,"kyushu",11090404,458594.1,0.03970856138594395
2020,"kyushu",13236142,399696,0.029312169886441888
2021,"kyushu",13256936,534891,0.038783186593045284
2022,"kyushu",14462694,448766,0.030095376307886685
2023,"kyushu",11017879,1058390,0.08764213516608482
2016,"shikoku",2532020,0,0
2017,"shikoku",2917230,0,0
2018,"shikoku",3126740,0,0
2019,"shikoku",3602990,0,0
2020,"shikoku",4188780,0,0
2021,"shikoku",4350230,0,0
2022,"shikoku",4712030,17690,0.003740179122654195
2023,"shikoku",3747580,73360,0.019199464006239304
2016,"tohoku",5146977,0,0
2017,"tohoku",6424777,0,0
2018,"tohoku",8676690,0,0
2019,"tohoku",9683368,0,0
2020,"tohoku",11115203,0,0
2021,"tohoku",12331016,0,0
2022,"tohoku",14012567,63791,0.004531783008076379
2023,"tohoku",11784469,102775,0.008645822362189252
